n,x,y,val,xT,yT
0.0000,-16.5289,7.0720,0,NaN,NaN
1.0000,-16.4992,7.1242,0,NaN,NaN
2.0000,-16.4614,7.1909,0,NaN,NaN
3.0000,-16.4127,7.2344,0,NaN,NaN
4.0000,-16.3857,7.2692,0,NaN,NaN
5.0000,-16.3613,7.2924,0,NaN,NaN
6.0000,-16.3370,7.3127,0,NaN,NaN
7.0000,-16.3072,7.3475,0,NaN,NaN
8.0000,-16.2882,7.3707,0,NaN,NaN
9.0000,-16.2801,7.3881,0,NaN,NaN
10.0000,-16.2720,7.3939,0,NaN,NaN
11.0000,-16.2666,7.4026,0,NaN,NaN
12.0000,-16.2639,7.4054,0,NaN,NaN
13.0000,-16.2584,7.4054,0,NaN,NaN
14.0000,-16.2449,7.4054,0,NaN,NaN
15.0000,-16.2313,7.4054,0,NaN,NaN
16.0000,-16.2232,7.3939,0,NaN,NaN
17.0000,-16.2259,7.3794,0,NaN,NaN
18.0000,-16.2286,7.3562,0,NaN,NaN
19.0000,-16.2232,7.3446,0,NaN,NaN
20.0000,-16.2178,7.3301,0,NaN,NaN
21.0000,-16.1988,7.3301,0,NaN,NaN
22.0000,-16.1907,7.3272,0,NaN,NaN
23.0000,-16.1798,7.3243,0,NaN,NaN
24.0000,-16.1771,7.3214,0,NaN,NaN
25.0000,-16.1744,7.3214,0,NaN,NaN
26.0000,-16.1690,7.3214,0,NaN,NaN
27.0000,-16.1663,7.3214,0,NaN,NaN
28.0000,-16.1609,7.3127,0,NaN,NaN
29.0000,-16.1582,7.3040,0,NaN,NaN
30.0000,-16.1527,7.2982,0,NaN,NaN
31.0000,-16.1500,7.3011,0,NaN,NaN
32.0000,-16.1527,7.3069,0,NaN,NaN
33.0000,-16.1554,7.3098,0,NaN,NaN
34.0000,-16.1609,7.3098,0,NaN,NaN
35.0000,-16.1609,7.3011,0,NaN,NaN
36.0000,-16.1582,7.2924,0,NaN,NaN
37.0000,-16.1500,7.2895,0,NaN,NaN
38.0000,-16.1446,7.2982,0,NaN,NaN
39.0000,-16.1419,7.3040,0,NaN,NaN
40.0000,-16.1392,7.3069,0,NaN,NaN
41.0000,-16.1392,7.3040,0,NaN,NaN
42.0000,-16.1392,7.3040,0,NaN,NaN
43.0000,-16.1392,7.3011,0,NaN,NaN
44.0000,-16.1419,7.3011,0,NaN,NaN
45.0000,-16.1419,7.3069,0,NaN,NaN
46.0000,-16.1392,7.3098,0,NaN,NaN
47.0000,-16.1337,7.3098,0,NaN,NaN
48.0000,-16.1337,7.3069,0,NaN,NaN
49.0000,-16.1365,7.3098,0,NaN,NaN
50.0000,-16.1419,7.3069,0,NaN,NaN
51.0000,-16.1419,7.3069,0,NaN,NaN
52.0000,-16.1419,7.3069,0,NaN,NaN
53.0000,-16.1392,7.3069,0,NaN,NaN
54.0000,-16.1365,7.3069,0,NaN,NaN
55.0000,-16.1337,7.3069,0,NaN,NaN
56.0000,-16.1337,7.3069,0,NaN,NaN
57.0000,-16.1310,7.3069,0,NaN,NaN
58.0000,-16.1256,7.3098,0,NaN,NaN
59.0000,-16.1175,7.3098,0,NaN,NaN
60.0000,-16.1148,7.3069,0,NaN,NaN
61.0000,-16.1175,7.3069,0,NaN,NaN
62.0000,-16.1175,7.3040,0,NaN,NaN
63.0000,-16.1175,7.3040,0,NaN,NaN
64.0000,-16.1175,7.3040,0,NaN,NaN
65.0000,-16.1202,7.3040,0,NaN,NaN
66.0000,-16.1202,7.3040,0,NaN,NaN
67.0000,-16.1175,7.3069,0,NaN,NaN
68.0000,-16.1148,7.3127,0,NaN,NaN
69.0000,-16.1093,7.3185,0,NaN,NaN
70.0000,-16.1012,7.3185,0,NaN,NaN
71.0000,-16.0931,7.3214,0,NaN,NaN
72.0000,-16.0876,7.3243,0,NaN,NaN
73.0000,-16.0849,7.3272,0,NaN,NaN
74.0000,-16.0876,7.3214,0,NaN,NaN
75.0000,-16.0849,7.3156,0,NaN,NaN
76.0000,-16.0849,7.3098,0,NaN,NaN
77.0000,-16.0849,7.3098,0,NaN,NaN
78.0000,-16.0849,7.3069,0,NaN,NaN
79.0000,-16.0795,7.3069,0,NaN,NaN
80.0000,-16.0768,7.3069,0,NaN,NaN
81.0000,-16.0741,7.3098,0,NaN,NaN
82.0000,-16.0686,7.3214,0,NaN,NaN
83.0000,-16.0605,7.3301,0,NaN,NaN
84.0000,-16.0523,7.3359,0,NaN,NaN
85.0000,-16.0496,7.3330,0,NaN,NaN
86.0000,-16.0442,7.3272,0,NaN,NaN
87.0000,-16.0496,7.3272,0,NaN,NaN
88.0000,-16.0551,7.3272,0,NaN,NaN
89.0000,-16.0632,7.3243,0,NaN,NaN
90.0000,-16.0659,7.3127,0,NaN,NaN
91.0000,-16.0713,7.3011,0,NaN,NaN
92.0000,-16.0741,7.2982,0,NaN,NaN
93.0000,-16.0741,7.3011,0,NaN,NaN
94.0000,-16.0741,7.3069,0,NaN,NaN
95.0000,-16.0741,7.3069,0,NaN,NaN
96.0000,-16.0713,7.3069,0,NaN,NaN
97.0000,-16.0659,7.3069,0,NaN,NaN
98.0000,-16.0605,7.3069,0,NaN,NaN
99.0000,-16.0523,7.3069,0,NaN,NaN
100.0000,-16.0469,7.3098,0,NaN,NaN
101.0000,-16.0442,7.3156,0,NaN,NaN
102.0000,-16.0442,7.3156,0,NaN,NaN
103.0000,-16.0415,7.3127,0,NaN,NaN
104.0000,-16.0442,7.3069,0,NaN,NaN
105.0000,-16.0469,7.3040,0,NaN,NaN
106.0000,-16.0496,7.3040,0,NaN,NaN
107.0000,-16.0361,7.3069,0,NaN,NaN
108.0000,-16.0225,7.3098,0,NaN,NaN
109.0000,-16.0062,7.3069,0,NaN,NaN
110.0000,-16.0062,7.3011,0,NaN,NaN
111.0000,-16.0089,7.2924,0,NaN,NaN
112.0000,-16.0116,7.2837,0,NaN,NaN
113.0000,-16.0306,7.2808,0,NaN,NaN
